establishment_type,min_inspections,severity,action
Food Depot,2,M - Minor,Notice to Comply
Food Depot,2,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,C - Crucial,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,S - Significant,Notice to Comply
Food Take Out,3,S - Significant,Notice to Comply
Food Take Out,3,C - Crucial,Notice to Comply
Food Take Out,3,S - Significant,Notice to Comply
Food Take Out,3,S - Significant,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,S - Significant,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,S - Significant,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Closure Order
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,S - Significant,Corrected During Inspection
Food Take Out,3,S - Significant,Corrected During Inspection
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,3,M - Minor,Notice to Comply
Food Take Out,2,M - Minor,Notice to Comply
Food Take Out,2,M - Minor,Notice to Comply
Food Take Out,2,S - Significant,Corrected During Inspection
Food Take Out,2,S - Significant,Corrected During Inspection
Food Take Out,2,M - Minor,Notice to Comply
Food Take Out,2,M - Minor,Notice to Comply
Food Take Out,2,M - Minor,Notice to Comply
Restaurant,2,S - Significant,Corrected During Inspection
Restaurant,2,S - Significant,Corrected During Inspection
Restaurant,2,S - Significant,Corrected During Inspection
Restaurant,2,M - Minor,Notice to Comply
Restaurant,2,M - Minor,Notice to Comply
Restaurant,2,M - Minor,Notice to Comply
Food Store (Convenience/Variety),1,M - Minor,Notice to Comply
Restaurant,2,M - Minor,Notice to Comply
Food Processing Plant,2,M - Minor,Notice to Comply
Food Processing Plant,2,S - Significant,Notice to Comply
Food Processing Plant,2,S - Significant,Notice to Comply
Food Processing Plant,2,M - Minor,Notice to Comply
Food Caterer,3,M - Minor,Corrected During Inspection
Food Caterer,3,S - Significant,Corrected During Inspection
Food Caterer,3,M - Minor,Notice to Comply
Food Caterer,3,S - Significant,Corrected During Inspection
Food Caterer,3,M - Minor,Notice to Comply
Food Caterer,3,S - Significant,Corrected During Inspection
Community Kitchen (Meal Program),3,M - Minor,Notice to Comply
Community Kitchen (Meal Program),3,S - Significant,Notice to Comply
Community Kitchen (Meal Program),3,M - Minor,Notice to Comply
Community Kitchen (Meal Program),3,M - Minor,Notice to Comply
Community Kitchen (Meal Program),3,M - Minor,Notice to Comply
Community Kitchen (Meal Program),3,M - Minor,Notice to Comply
Community Kitchen (Meal Program),3,M - Minor,Notice to Comply
Community Kitchen (Meal Program),3,M - Minor,Notice to Comply
Restaurant,2,S - Significant,Corrected During Inspection
Restaurant,3,M - Minor,Notice to Comply
Restaurant,3,S - Significant,Corrected During Inspection
Restaurant,3,M - Minor,Notice to Comply
Restaurant,3,S - Significant,Corrected During Inspection
Restaurant,3,M - Minor,Notice to Comply
Restaurant,3,M - Minor,Notice to Comply
Restaurant,3,S - Significant,Notice to Comply
Restaurant,3,S - Significant,Notice to Comply
Restaurant,3,S - Significant,Notice to Comply
Restaurant,3,M - Minor,Notice to Comply
Restaurant,3,S - Significant,Notice to Comply
